,Time,ID,RSSI,PI
1465,1702044987.9697568,dd:03:16:54:f4:d0,-82,133
1466,1702045001.0518084,dd:03:16:54:f4:d0,-83,133
1467,1702045002.2043962,dd:03:16:54:f4:d0,-79,133
1468,1702045012.159315,dd:03:16:54:f4:d0,-75,163
1469,1702045015.1496286,dd:03:16:54:f4:d0,-81,163
1470,1702045020.1491776,dd:03:16:54:f4:d0,-73,163
1471,1702045021.152556,dd:03:16:54:f4:d0,-73,163
1472,1702045023.175334,dd:03:16:54:f4:d0,-73,163
1473,1702045026.1964917,dd:03:16:54:f4:d0,-77,163
1474,1702045028.1985462,dd:03:16:54:f4:d0,-72,163
1475,1702045032.2161283,dd:03:16:54:f4:d0,-78,163
1476,1702045033.2378097,dd:03:16:54:f4:d0,-75,163
1477,1702045034.2196643,dd:03:16:54:f4:d0,-75,163
1478,1702045035.2277043,dd:03:16:54:f4:d0,-75,163
1479,1702045038.23672,dd:03:16:54:f4:d0,-73,163
1480,1702045042.2539513,dd:03:16:54:f4:d0,-77,163
1481,1702045045.2677865,dd:03:16:54:f4:d0,-76,163
1482,1702045046.2810695,dd:03:16:54:f4:d0,-76,163
1483,1702045050.303891,dd:03:16:54:f4:d0,-79,163
1484,1702045051.3031523,dd:03:16:54:f4:d0,-79,163
1485,1702045058.3490975,dd:03:16:54:f4:d0,-81,163
1486,1702045060.3514762,dd:03:16:54:f4:d0,-77,163
1487,1702045062.3549228,dd:03:16:54:f4:d0,-76,163
1488,1702045070.3952231,dd:03:16:54:f4:d0,-73,163
1489,1702045071.4834328,dd:03:16:54:f4:d0,-81,163
1490,1702045077.4366477,dd:03:16:54:f4:d0,-82,163
1491,1702045080.5141256,dd:03:16:54:f4:d0,-72,163
1492,1702045085.479319,dd:03:16:54:f4:d0,-75,163
1493,1702045093.547795,dd:03:16:54:f4:d0,-75,163
1494,1702045095.5574477,dd:03:16:54:f4:d0,-77,163
1495,1702045098.576975,dd:03:16:54:f4:d0,-77,163
1496,1702045100.5816343,dd:03:16:54:f4:d0,-79,163
1497,1702045104.6013532,dd:03:16:54:f4:d0,-72,163
1498,1702045106.612888,dd:03:16:54:f4:d0,-79,163
1499,1702045108.6099608,dd:03:16:54:f4:d0,-79,163
1500,1702045139.7306104,dd:03:16:54:f4:d0,-82,133
1501,1702045141.7365725,dd:03:16:54:f4:d0,-84,133
1502,1702045146.7855723,dd:03:16:54:f4:d0,-81,133
1503,1702045157.9053888,dd:03:16:54:f4:d0,-82,133
1504,1702045164.9058995,dd:03:16:54:f4:d0,-79,133
1505,1702045217.1236207,dd:03:16:54:f4:d0,-72,163
1506,1702045218.1534743,dd:03:16:54:f4:d0,-77,163
1507,1702045221.1401167,dd:03:16:54:f4:d0,-80,163
1508,1702045222.149475,dd:03:16:54:f4:d0,-82,133
1509,1702045224.2098608,dd:03:16:54:f4:d0,-79,163
1510,1702045225.1741428,dd:03:16:54:f4:d0,-80,133
